,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,id_name,extra.address,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.uid,extra.ebikes,extra.has_ebikes,extra.bike_uids,extra.number,extra.slots
4506,1,0,aed2222e287c42495b1e4a00de004c1c,41.9352453,-87.776052,Public Rack - Austin Ave & Wellington Ave,2022-10-30T00:57:54.425000Z,divvy,"Painters Union #194, 3015, North Austin Avenue, Hanson Park, Beat 2511, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",1662498642.0,,,1.0,1.0,1674190170827532584,0.0,True,,,
4507,4,0,5b140273b428c3a55f525a0fb424ad2b,41.8560219,-87.7298436,Public Rack - Roswell B. Mason Elementary School,2022-10-30T00:57:56.325000Z,divvy,"Mason Elementary School, West 19th Street, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",1662511424.0,,,1.0,1.0,1674190600324262928,0.0,True,,,
4508,1,1,c17e973e5315b795fda42cf537b544de,41.777436,-87.644535,Public Rack - Halsted St & 64th St,2022-10-30T00:57:54.517000Z,divvy,"Kennedy-King College, South Halsted Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",1662484743.0,,,1.0,1.0,1674190312561453616,1.0,True,,,
4509,4,0,1481c0a69e5babf646b29b22b69f4f7f,42.014539,-87.6901359,Public Rack - Chase Ave & Touhy Ave - NE,2022-10-30T00:57:56.337000Z,divvy,"7313-7319, North Western Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",1662499155.0,,,1.0,1.0,1674190235252042148,0.0,True,,,
4510,2,0,a3f41b03c6ca48acc55a365c5fe14f79,41.81791,-87.72413,Pubic Rack - Pulaski Rd & 41st,2022-10-30T00:57:54.848000Z,divvy,"Wendy's, 4100, South Pulaski Road, Archer Heights, Chicago, Lake Township, Cook County, Illinois, 60632, United States",1662498421.0,,,1.0,1.0,1674190578849426420,0.0,True,,,
4511,2,0,bb291c75c6b44144f4867836489eebb0,41.943162,-87.82909,Public Rack - Panama Ave & Forest Preserve Ave,2022-10-30T00:57:56.349000Z,divvy,"3502, North Panama Avenue, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",1662487135.0,,,1.0,1.0,1674190548784655292,0.0,True,,,
4512,0,1,5ece1c1e4bbcfd14d2aa59913c84e6ea,41.938315,-87.793848,Public Rack - Rutherford Ave & Belmont Ave,2022-10-30T00:57:54.850000Z,divvy,"6710, West Belmont Avenue, Dunning, Montclare, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",1662512305.0,,,1.0,1.0,1674190600324262930,1.0,True,,,
4513,0,0,45a083a8b2847f089fe01a14821b7f87,41.8551905,-87.7345547,Public Rack - S Kostner Ave & W 18th Pl,2022-10-30T00:57:54.851000Z,divvy,"1857, South Kostner Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",1662511431.0,,,1.0,1.0,1674190600324262932,0.0,True,,,
4514,1,0,dd2e03e64d7e47e7b9b43dd501341c4a,41.885708,-87.735424,Public Rack - Kostner Ave & Lake St,2022-10-30T00:57:56.355000Z,divvy,"300-314, North Kostner Avenue, Central Park, West Garfield Park, Chicago, Cook County, Illinois, 60624, United States",1662486538.0,,,1.0,1.0,1674190424230603488,0.0,True,,,
4515,1,0,31e16360eae6ddf8ae35d4364160f5bf,41.707257,-87.627826,Public Rack - Wentworth Ave & 103rd St,2022-10-30T00:57:56.615000Z,divvy,"146-152, West 103rd Street, Roseland, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60655, United States",1662513109.0,,,1.0,1.0,1674190651863870582,0.0,True,,,
